SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P5-74,269896.0922,3700502.988,18.68830803,66.29885745,4.965,20.73061494,46.59454235,5.5675,9.995984462,52.84683576,5.9975,6.272130224,41.47970884,6.139,4.4469302,52.73456609,6.394,0.985838066,58.35599247,6.703,Cecil,WD
P5-75,269920.4879,3700508.551,19.44658819,62.63678572,4.8575,20.9056881,37.23858301,5.5245,17.94145649,30.50796415,5.84,13.71002182,30.53892216,6.003,5.216738516,51.06926269,6.218,3.167279921,65.4109589,6.401,Iredell,MWD
P5-76,269942.132,3700516.654,18.73057259,135.6954069,4.9985,8.807310734,67.12569967,5.9425,8.66873587,92.33018444,6.109,17.84402427,63.04711321,6.03,4.524500452,92.54158863,6.383,0.420080668,51.88630491,6.745,Helena,MWD
P5-77,269867.6227,3700515.736,19.00394843,159.4465078,4.9855,18.8464971,79.95329668,5.5335,13.23158724,87.30443211,6.176,21.69750506,106.0440229,6.46,9.976267715,103.4049504,6.722,2.775552955,105.3069967,6.634,Cecil,WD
P5-78,269889.5406,3700520.488,18.93927788,80.55475725,5.0065,21.14360721,54.41760929,5.237,14.80357117,57.85679027,6.3355,1.385173549,78.72269653,6.853,0.810341342,90.03698567,6.95,19.45508239,103.99206,7.061,Cecil,WD
P5-79,269913.9364,3700526.051,19.81103086,71.23706678,4.858,20.38681533,45.85468664,5.439,12.05419744,37.60398546,6.054,3.247975338,53.95320694,6.527,1.802286624,55.67117586,6.731,2.253034725,78.10009563,6.926,Iredell,MWD
P5-80,269935.5805,3700534.154,25.76238171,149.1755963,4.6845,16.32118908,81.36630599,5.6035,19.15020194,76.232068,5.6765,14.23947696,92.63681592,5.719,1.98411158,67.00687819,6.437,0.472017029,60.5066727,6.008,Helena,MWD
P6-81,269946.7885,3700390,20.87844604,99.72890974,5.023,13.7403076,49.52875553,5.551,4.496099079,43.02395026,6.3655,0.642253939,28.72307212,7.101,0.227592535,24.56072226,7.263,0.608855521,34.09969088,7.558,Iredell,MWD
P6-82,269968.8873,3700400,22.72192573,63.45374955,4.7005,19.75030855,35.93807373,5.3605,10.25903894,27.63510855,6.085,2.266026765,52.45064336,6.871,0.287492501,47.86273329,7.342,,,,Iredell,MWD
P6-83,269990.2883,3700420,22.77933002,53.62084095,4.6765,22.58298801,38.26577948,5.1125,13.35288098,22.15379007,5.769,5.160298009,23.38284619,6.426,,,,0.004227358,58.43485443,6.523,Helena,MWD
P6-84,270001.3375,3700440,22.10424225,73.13029057,5.4255,6.658572644,49.45720838,6.1295,7.65695763,29.09304258,6.313,3.88659482,32.52564942,6.716,1.654256401,40.72641307,6.961,0.260667655,58.72465595,6.874,Helena,MWD
P6-85,269934.5741,3700410,24.55697503,98.13401951,4.3505,23.15587572,43.9610842,5.4935,15.19364869,25.28390801,6.2965,,,,,,,1.280338651,37.99833887,7.391,Iredell,MWD
P6-86,269956.673,3700420,22.31790326,78.53273058,4.7005,22.24674914,47.05054743,5.451,11.54409534,29.95708513,6.356,,,,0.279939608,26.89233662,7.204,0.008773986,22.44312359,7.292,Iredell,MWD
P6-87,269978.0739,3700430,22.23162113,58.3016188,4.9825,22.51300354,40.31141102,5.551,17.29932169,27.30651639,5.991,4.271510586,24.49799197,6.618,0.519709328,57.56358768,7.043,0.174947014,27.61555974,7.283,Helena,MWD
P6-88,269989.1231,3700460,23.44408749,91.24435715,5.122,19.13716426,56.07632096,5.8085,4.567455686,62.82118511,6.838,,,,,,,0.364923722,61.50939435,7.511,Helena,MWD
P6-89,270002.6149,3700470,23.19676193,74.80655742,5.4025,5.045114392,44.84561233,5.998,4.21329806,27.5095757,6.126,,,,,,,,,,Helena,MWD
